ID;Text;Category;Date
32;وصلت بلاد مختلفة، بس صوت الشام بقلبي ما غاب.;هجرة;2014-09-11
33;وقفت عالحدود وانكسرت أحلامي بين الجواز والهوية.;هجرة;2013-04-10
34;سافرت والوجع مابرح، بس أمل اللقا بيضل نجم بدربي.;هجرة;2017-04-06
35;طلعت عالطائرة، والحنين معي بكل رحلة.;هجرة;2014-01-28
36;طريقي للغربة كان مليان دموع، بس رجعة الوطن أمل ما بينتهي.;هجرة;2012-01-13
37;وصلت مطار غريب، والحنين للوطن صار أغلى من كل شي.;هجرة;2014-01-26
38;وقفت عند المطار والدمع ساكن عخدي، كل وداع موجع أكتر من السابق.;هجرة;2012-01-14
39;رحت عالحدود، والدمع سكّب لي حكاية الغربة.;هجرة;2014-08-17
40;طلعت عالطائرة، والدموع بتروي فصول الغربة والحنين.;هجرة;2015-02-20
41;سمعت صوت أمّي يناديني، بس الطريق مرّ والبعد ما بينتهي.;هجرة;2013-09-29
42;بعد ما ودعت أهلي، حسيت العالم كله صار فاضي وبارد.;هجرة;2013-07-15
43;كل رحلة سفر بتعلمني قديش الوطن غالي.;هجرة;2015-12-29
44;رحت على الحدود، وجهي مليان دموع، والقلب معلق بين الرحيل والرجوع.;هجرة;2012-07-16
45;عبراتني أصوات الناس بالغربة، بس كان صوت أمي أحلى من الكل.;هجرة;2013-04-16
46;رحلت، بس ذكريات الوطن محفورة بذاكرتي.;هجرة;2016-12-26
47;بسافر بلا تذكرة، كل حلمي يكون السلام عالبيت وألم الشوق يروح.;هجرة;2013-02-09
48;بسافر وحيد، والحنين بقلبي محمل كل الذكريات الحلوة.;هجرة;2016-10-09
49;رحت عالحدود، وكل دمعة بتروي قصة غياب وألم.;هجرة;2016-05-23
50;طلعت عالطائرة، وكل الحكايات عن الوطن بتدور براسي.;هجرة;2012-05-11
51;رحلت، بس الشوق للوطن بضل رفيقي بالليل والنهار.;هجرة;2012-12-15
52;سافرت مع قلب محمل بالشوق، والحنين صار زاد الحياة.;هجرة;2016-08-07
53;سافرت عالأرض الغريبة، بس قلبي معلق برائحة خبز المونة بالبيت.;هجرة;2015-03-25
54;كل لحظة غربة بتزيد حلم الرجعة ويقوى.;هجرة;2016-08-12
55;كل صوت غريب بيعيدني لضحكة أخوي ببيتنا القديم.;هجرة;2012-10-27
56;رحلت وما رجعت، بس أمل الرجعة دايمًا بخاطري.;هجرة;2013-02-22
57;وقفت عالحدود وأنطر جواز السفر يخلص، والدمع سين جديد بالغربة.;هجرة;2012-12-18
58;رحلت وما قدرت أنسى صوت أمي وهمستها بالليل.;هجرة;2015-01-21
59;وصلت بلاد بعيدة، بس روحي تبقى شامية وين ما رحت.;هجرة;2014-03-12
60;رحلت، بس ذكرى الأهل بتضل نجم بليلي المظلم.;هجرة;2015-09-28
61;وصلت بلاد الغربة، بس قلبي دايمًا ببيت أهلي.;هجرة;2015-08-09
62;وصلت بلاد الغربة، وما في شي بيعوضني عن لمّة العيلة.;هجرة;2017-10-16
63;رحت بلد جديد، وكل ما شفت وجوه جديدة افتكرت وجوه أهلي.;هجرة;2017-10-03
64;وصلت بلاد الغربة، وبالذاكرة صور العيد واللمة.;هجرة;2012-11-20
65;سافرت وبكل لحظة بشتاق لحارة الليل وأغاني الفجر.;هجرة;2012-12-25
66;طلعت عالطائرة، والدمع بيغسل وجعي عن الفراق.;هجرة;2012-09-24
67;طلعت عالطائرة وبعيني دموع، كل لحظة غربة بتمطر قلبي.;هجرة;2014-11-25
68;رحلتي كانت بدموع وصمت، وكل كلمة وداع كانت نار بالقلب.;هجرة;2015-08-09
69;وصلت بلاد بعيدة، بس صوت الوطن ما فارقني.;هجرة;2015-04-09
70;في الغربة كنت بحاول أضحك، بس الشوق خلاني أغرق بالدمع.;هجرة;2016-09-22
71;رحت عالحدود، والدمع ساكن عخدي بيحكي قصة الغربة.;هجرة;2017-08-25
72;طلعت عالطائرة، وكل أحلامي معلقه بالسماء.;هجرة;2017-08-17
73;رحلت وما في حدا معي، بس صوت أمي بضل معي بنفسي.;هجرة;2017-09-14
74;كل لحظة غربة بتحكي عن حب ما انكسر ولا انتهى.;هجرة;2017-03-24
75;صرت أتخيل لم الشمل كل لحظة، والدمع يصير غيمة فوق خدي.;هجرة;2017-02-01
76;رحت عالحدود، وقلبي بين الهنا وهناك، ضايع بين الحلم والواقع.;هجرة;2015-06-12
77;رحلت، بس ذكرى الوطن محفورة بنفسي وروحي.;هجرة;2014-05-08
78;على مدخل الحارة القديمة، افتكرت ضحكات الوالدة وزغاريد الأخوة.;هجرة;2016-10-06
79;سافرت عالأرض البعيدة والقلب معلق بلم الشمل وبلمة الدفء.;هجرة;2013-08-26
80;كل غربة بتحكي قصة وجع وحنين ما بينتهي.;هجرة;2016-09-27
81;غربة المدينة الكبيرة خنقتني، وحكيت للنجوم عن هالوجع.;هجرة;2017-10-12
82;سافرت والشوق بقلبي، وكل لحظة بتزيد وجعي مع الغربة.;هجرة;2012-09-29
83;سافرت للقلب بعيد، بس الحلم بالحضن ما بينسى ولا بيموت.;هجرة;2014-03-16
84;طلعت عالطائرة، والدمع ساكن عالوجنتين.;هجرة;2015-12-13
85;رحت عالحدود، وكل لحظة انتظار بتغلي بالروح.;هجرة;2017-01-27
86;دخلت مطار كبير، وكل خطوة بتوجع قلبي عالفراق.;هجرة;2016-07-11
87;رحلت والجراح بالغربة عم تنمو، بس الأمل أكبر.;هجرة;2017-06-26
88;رحت عالحدود، والحنين بعيوني مثل نار ما بتطفي.;هجرة;2012-04-25
89;طلعت عالباص وقلبي معلق بالوطن، بس الطريق بعيدة والبعد ثقيل.;هجرة;2014-07-27
90;رحت عالحدود، والدموع تمطر قلبي الولهان.;هجرة;2012-07-06
91;رحت عالحدود، وكل خطوة بتبعدني أكتر عن لم الشمل.;هجرة;2014-12-19
92;وصلت بلاد الغربة، والذكريات مثل النسيم بتهب بالليل.;هجرة;2013-11-25
93;في الغربة، كل صوت غريب بيرجعني لذكريات الحارة والأهل.;هجرة;2013-07-05
94;كل غربة بتزيد حبي للوطن وكل لحظة بتعلمني الصبر.;هجرة;2016-05-23
95;جلست لوحدي بالسوق، وقلبي عم يصرخ من وجع الغربة.;هجرة;2012-04-16
96;كل يوم بالغربة بحلم أسمع صوت والدي يناديني بالباب.;هجرة;2017-11-03
97;طلعت عالطائرة، وكل لحظة غربة بتوجع أكثر من قبل.;هجرة;2015-01-22
98;كل خطوة بالسفر كانت بتقطع قلبي، بس تعب الغربة بيصقل الإنسان.;هجرة;2013-03-29
99;طلعت عالطيارة، والسماء كانت تبكي معي على فراق الأحبة.;هجرة;2013-09-05
100;سافرت، وبحلم بالرجع والهدايا اللي ما قدرت أجيبها.;هجرة;2015-11-11
101;وصلت بلاد الغربة والقلب ملان ذكريات ما بتنتهي.;هجرة;2012-01-14
102;سافرت والقلب ينبض بحب الأرض اللي تركتها وراي.;هجرة;2012-08-10
103;طلعت عالطائرة، وقلبي مشغول بلقا الأحبة.;هجرة;2016-02-22
104;سافرت عالبحر، بس الموج ما غسل حزني، والغياب صار أعمق.;هجرة;2014-01-09
105;رحت عالحدود، والروح متشتتة بين الوداع واللقاء.;هجرة;2014-12-10
106;رحت عالحدود، أحلم بلم الشمل والفرحة الكبيرة.;هجرة;2014-10-29
107;سافرت ومعي صوت الحارة وضحكات الأصحاب.;هجرة;2017-05-10
108;سافرت، وقلبي عم ينبض بحب الوطن وأهله.;هجرة;2015-07-03
109;سافرت، وبحلم برؤية العائلة تحت الشجر القديم.;هجرة;2013-06-11
110;كل شارع غريب بذكرني بطريق الحارة وبضحكات الصبح.;هجرة;2016-04-23
111;سافرت لحالي، بس صور الأحباب معي بكل خطوة.;هجرة;2017-07-29
112;طلعت عالطائرة، وقلبي بين الألم والفرح مشتاق.;هجرة;2013-08-09
113;كل ما بشوف الغروب بحس إنو اللقا صعب، بس الله كريم.;هجرة;2013-10-14
114;كل غربة بتعلمني قديش الوطن هو الحضن الدافي.;هجرة;2016-04-08
115;يا ريت الطيارة توقف بين السحاب وأرجع لعناق الأحباب.;هجرة;2017-08-16
116;وصلت بلاد الغربة، وبقلب مكسور بحاول أبني حياة.;هجرة;2014-01-22
117;طلعت عالطائرة، وقلبي محمل بأماني الرجعة.;هجرة;2016-02-01
118;كل غربة بتعلمنا قديش الوطن هو الحضن الكبير.;هجرة;2014-11-06
119;رحت عالحدود، وكل خطوة بتبعدني أكتر عن الدفء العائلي.;هجرة;2015-05-13
120;رحت عالحدود، والدمع ساكن عخدي بكتوب عن وجع البُعد.;هجرة;2014-04-01
121;رحت عالحدود، وكل خطوة بتبعدني عن لم الشمل.;هجرة;2016-06-23
122;طلعت عالطائرة، وكل أمنياتي رجعة للبيت.;هجرة;2016-06-27
123;سافرت، وما نسيت دفء يدي أمي وقصصها الحلوة.;هجرة;2015-12-23
124;سافرت لبعيد، ورغم البُعد صوت أمي بيضل يناديني.;هجرة;2017-04-27
125;وصلت بلد غريب، طلع طعم الحكي غير، وجرحي غير.;هجرة;2012-07-25
126;كل غربة بتزيد شوقي للقاء الأحباب ولمّة العيلة.;هجرة;2016-08-09
127;رحلت بليل وما حدا دري، بس صوت أمي بعد ببال راسي.;هجرة;2016-04-25
128;وصلت بلاد الغربة، وقلبي ما بينسى رائحة خبز أمي.;هجرة;2013-10-26
129;رحت عالحدود، وحسيت قلبي مسروق بين دنيتين.;هجرة;2016-06-10
130;بغربة المدينة الكبيرة، بتمنى بس أرجع عالزقاق القديم.;هجرة;2015-05-20
131;رحت عالحدود، وكان الحلم بشمس تشرق على بلدي.;هجرة;2015-06-15
132;رحلت وما كنت وحدي، معي صور ودعوات الأحباب.;هجرة;2013-10-02
133;كنت عم بمشي عالشارع، وفجأة حسيت إنو العالم كله صار غريب.;هجرة;2017-04-23
134;طلعت عالطيارة والدمع ساكن عخدي، كل ما غبت بزيد شوقي.;هجرة;2013-12-24
135;كنت عم بحزم شنطتي، والدنيا كلها عم بتمطر حزني على الفراق.;هجرة;2016-08-06
136;وقف عالحدود، والدنيا كلها صارت صخر بيني وبين أحلامي.;هجرة;2012-09-20
137;وصلت بلد غريب، وبقلب مكسور عم حاول أبني حياة جديدة.;هجرة;2012-11-10
138;طلعت عالطائرة، والدموع بتروي حكاية الغربة الطويلة.;هجرة;2013-02-11
139;سافرت ومعي ذكريات الحارة وضحكات الأطفال.;هجرة;2013-11-02
140;رحت عالحدود، والدمع يسيل على خد الغربة.;هجرة;2015-03-01
141;سافرت والغربة علمتني الصبر والحنين.;هجرة;2014-06-02
142;كل غربة بتزيد أمنيتي بلم الشمل والرجعة.;هجرة;2015-07-22
143;سافرت، ومعي كل الذكريات الحلوة من البيت.;هجرة;2014-02-17
144;طلعت عالطائرة، وعيوني عم تبكي عالوداع.;هجرة;2012-08-13
145;شفت وجوه مرتين، وكل مرة زاد الشوق للبيت وأهلي.;هجرة;2017-10-20
146;وصلت بلد الكلاب والغرباء، بس ضل قلبي معلق بصوت البابا.;هجرة;2015-07-27
147;طلعت عالطائرة وكتبت رسالة لأهلي، عساتي أرجع بسلام.;هجرة;2017-10-15
148;رحت عالحدود، والروح متعبة من الغربة والبعد.;هجرة;2013-03-15
149;وصلت بلاد الغربة، وبقلب مليان حب الوطن وذكرياته.;هجرة;2014-12-07
150;كانت الرحلة طويلة والوجع أكبر، بس أمل الرجعة ضوي عتمتي.;هجرة;2013-04-29
151;طلعت على الطيارة وقلبي معلق بالوطن وأحلام الرجعة.;هجرة;2016-12-21
152;طلعت عالطائرة، والدمع يدوب بليلي الطويل.;هجرة;2016-07-30
153;رحلت، بس حكاية الوطن عم تعيش بقلبي.;هجرة;2017-01-15
154;كل لحظة غربة بتعلمني قيمة الوطن والحب.;هجرة;2012-08-23
155;رحلت، بس حب الوطن ما بينتهي ولا يضيع.;هجرة;2013-10-19
156;حلمت إنو في صوت انفجار قريب، وأنا عم دَوّر على إخواتي بين الركام، بس ما لقيت حدا 😢.;خوف;2012-09-28
157;يا جماعة شفت حالي محبوس بغرفة عتمة، وكل ما حاولت أصرخ ما طلع صوتي، بليز شو معناها؟;خوف;2014-10-11
158;حلمت إنو في طيارة عم تنزل علينا، بس قبل ما توصل صحيت مفزوع، الله يستر.;خوف;2011-03-06
159;شفت حالي عم أهرب من بيت عم يتهد، والطريق عم يطوّل وما يوصل، حدا يفسرلي.;خوف;2011-10-21
160;حلمت بوجوه ناس ميتين عم يطلعوا عليّ من الضباب، بس ما حكو ولا كلمة، والله خوفت.;خوف;2014-01-26
161;حلمت بصوت انفجار قريب وأنا عم أدوّر على أهلي.;خوف;2014-04-09
162;حلمت بغرفة مظلمة وما كنت قادر أصرخ.;خوف;2012-06-29
163;شفت طيارة عم تهبط علينا بالمنام، قبل ما توصل صحيت.;خوف;2014-04-09
164;حلمت إني عم أهرب من بناية تنهار والطريق طويل.;خوف;2012-07-23
165;شفت وجوه ناس ميتة عم تظهرلي فجأة من الضباب.;خوف;2014-06-01
166;كنت بغرفة مظلمة وما عم اقدر أصرخ;خوف;2011-08-12
167;حلمت بصوت انفجار قريب وكنت عم دور على أهلي;خوف;2014-11-30
168;شفت طيارة عم تنزل علينا قبل ما توصل صحيت مفزوع;خوف;2013-07-28
169;عم حفر بالأرض بلا ما بلاقي سلام;خوف;2014-02-26
170;البيت يلي عشنا فيه عم ينهار وأنا حاسس روحي وحدي;خوف;2012-04-03
171;البيت بلا جدران والسماء بلا غيوم;خوف;2012-11-09
172;الأهل عم يحاولوا يهربوا وأنا عالق بلا طريق;خوف;2014-06-07
173;الطرق كلها بلا نهاية وأنا ضايع بلا أمل;خوف;2015-12-09
174;المستقبل مظلم والدمع أغلى هدفي;خوف;2012-08-19
175;القلق عم يبلش يغزو قلبي وأنا بلا حيلة;خوف;2016-11-17
176;الناس عم تختفي وأنا مش قادر ألقى حدا;خوف;2016-05-18
177;الأسواق فاضية والناس مختفية وأنا مش متأكد إذا في أمان;خوف;2014-12-05
178;الأمان صار سراب والليل بلا نجوم;خوف;2011-12-01
179;عم أسمع صوت الرصاص وصدى قلبي ينكسر;خوف;2015-03-16
180;البيت صار قفص والدمع مافي حدود;خوف;2011-04-09
181;المستقبل ضبابي وأنا ضايع بلا عنوان;خوف;2015-10-18
182;صوت الانفجارات صار رفيقي بالدنيا;خوف;2012-06-24
183;عم أسمع صوت أمي ناديني وأنا مش قادر أوصلها;خوف;2014-07-20
184;صوت القصف صار همسة في أذني بلا رحمة;خوف;2012-09-21
185;عم بشوف الليل عم يبتلع ضو عيني;خوف;2012-12-03
186;عم امشي بالليل والنجوم مخفية والظلام ما بلاقي منحى;خوف;2014-07-10
187;صوت القصف صار همسة في أذني ولا بس عيوني;خوف;2015-09-16
188;عم أسمع صوت القنابل وهو يزعج قلبي وينغص نومي;خوف;2013-04-12
189;السماء عم تنزل دخان وأنا قاعد بلا تحرك;خوف;2016-12-18
190;عم ببحث عن طوبة أركبها على الدنيا المتكسرة;خوف;2012-03-05
191;السماء معلقة فوقي بلا نجم بلا ضوء;خوف;2015-03-17
192;المدينة كلها عم تحترق وأنا حاسس إني عم أختفي;خوف;2012-01-08
193;السماء بلا لون والدمع أغلى هديتي;خوف;2015-06-25
194;عم بشوف العتمة عم تزيد في عيوني;خوف;2015-03-22
195;السماء بلا لون والقلب بلا نبض;خوف;2015-09-17
196;عم دور على أخويا بكل مكان بس الغربة عم تكسر قلبي;خوف;2016-07-29
197;الأبواب مقفلة وأنا محاصر بلا أمل بالخروج;خوف;2012-06-12
198;الصمت عم يحاصرني وأنا عم أصرخ بلا صوت;خوف;2014-04-11
199;الظلام عم يبتلعني وأنا بلا أمل بالنجاة;خوف;2011-01-15
200;البيت بلا أبواب والدمع أغلى صديق;خوف;2016-06-01
201;البيت يلي كان دافي صار كومة برد ورصاص;خوف;2016-05-12
202;الأولاد عم يجروا وأنا ضايع ما بعرف طريق العودة;خوف;2012-10-09
203;عم أسمع صراخ البعيدين وأنا بلا صوت;خوف;2012-07-30
204;عيوني بتشوف وجوه الناس خايفة وأنا متلهم ما بعرف شو أعمل;خوف;2013-09-23
205;الدمع صار رفيقي الأمين وأنا بلا أمل;خوف;2012-01-27
206;الظلام عم يحيط فيني والدمع ما عم ينزل;خوف;2013-01-31
207;عم بصرخ وبعد الصوت ضاع وما وصل لأحد;خوف;2014-10-21
208;النار عم تلاحقني وأنا بلا حيلة وخايف;خوف;2016-05-25
209;المستقبل مظلم وأنا بلا بصيص نور;خوف;2015-11-03
210;عم أسمع صراخ الأهل وأنا مش قادر أوصلهم;خوف;2013-04-14
211;الرجوع غائب والقدام مظلم والقلق بالقلوب عميق;خوف;2014-11-02
212;الظلمة عم تبلع كلشي وأنا بلا أمل;خوف;2015-01-19
213;الدموع عم تنزل وأنا شايف الدمار حواليني;خوف;2012-09-24
214;عم أمشي بشوارع مهجورة خايفة من الضجيج;خوف;2013-04-09
215;الرصاص عم يطير حوالي وأنا بلا درع;خوف;2012-12-20
216;الدموع عم تسيل وأنا بلا صوت أقول فيه;خوف;2014-11-08
217;صوت الانفجارات ما عم يهدى وقلبي عم يدق بسرعة;خوف;2011-10-13
218;البيت صار وحش والدموع بلا حدود;خوف;2014-08-25
219;عم بحاول أتنفس بس الخوف ما عم يتركني;خوف;2011-11-06
220;الأهل مختفين وأنا بلا مكان أرجع عليه;خوف;2013-04-05
221;الصوت صار بعيد وأنا عم آخذ أنفاسي بصعوبة;خوف;2012-09-15
222;صوت الأنفجار صار أغنية حزينة;خوف;2013-11-04
223;الظلام عم يبلش يبتلع قلبي وأنا بلا صوت;خوف;2016-08-20
224;عم بشوف وجوه الناس خايفة وأنا معهم بلا ما أحس;خوف;2011-10-25
225;الناس مفقودين وأنا عم أتمسك بذكرى ضائعة;خوف;2013-12-09
226;البيت بلا جدران وأنا بلا حماية;خوف;2012-09-09
227;عم بحاول أتنفس بس الهوا ما بلاقيه;خوف;2016-03-30
228;السماء بلا لون والريح عم تقطع روحي;خوف;2016-01-05
229;الطرق مهجورة وأنا ضايع بلا دليل ولا اتجاه;خوف;2011-05-12
230;الأرض عم تترك رجلي وأنا عم أنزلق بلا توقف;خوف;2014-09-08
231;البيت صار مغطى بالرماد وأنا عم أمسك بالذكرى;خوف;2013-01-28
232;البيت صار وحش وأنا بلا ملجأ;خوف;2014-05-10
233;الطريق ضايعة وأنا مش عارف وين روحي رايحة;خوف;2013-04-17
234;الأولاد عم يبكوا وأنا عم أضمهم بقلبي بلا كلام;خوف;2015-07-27
235;الأهل ضايعين وأنا بلا أمل بالبكاء;خوف;2012-11-05
236;البيت صار كومة حجارة وأنا بلا أمل أرجع لعتمتي;خوف;2015-12-29
237;عم بشوف أخي عم يختفي وأنا ما بدي أتركه;خوف;2015-04-23
238;السماء بلا شمس والليل بلا أمل;خوف;2011-11-07
239;الليل خنقني وأنا عم أتنفس بصعوبة وخوف;خوف;2012-07-01
240;الأمل ضاع بين أصوات الرصاص والصمت المحزن;خوف;2015-10-12
241;عم بحاول أحمي حالي بس الدنيا كلها نار وجمر;خوف;2015-07-01
242;الصمت عم يكسرني وأنا مش قادر أصرخ;خوف;2016-03-03
243;عم أسمع صوت الصراخ بس إيدي مقيدة وما بقدر أتحرك;خوف;2015-06-04
244;الدموع عم تهطل وأنا بشوف حالي ضعيف وخايف;خوف;2013-07-02
245;عم بشوف وجهي منعكس بزجاج مكسور والدموع ما بتنتهي;خوف;2011-01-29
246;الدنيا بلا أمان والقلوب عم تنكسر بلا رجعة;خوف;2011-11-16
247;عم أمشي بشوارع خايفة من صوت الطيارات فوق راسي;خوف;2015-03-14
248;الأهل مفقودين وأنا بين الرصاص متل الضايع;خوف;2016-08-15
249;السماء عم تنكسر وأنا عم خسف أكتر;خوف;2015-11-30
250;عم بشوف الناس عم يختفوا وأنا بلا أمل;خوف;2014-01-14
251;البيت تبعنا صار رماد والدمع عم ينزل بلا توقف;خوف;2013-10-24
252;الناس عم تختفي وعم يبقى صوت الخوف صدا;خوف;2014-10-11
253;البيت بلا باب وأنا بلا مفتاح;خوف;2014-08-10
254;عم أركض بس الأرض بتزحلق وأنا بلا قرار;خوف;2011-12-26
255;السماء عم تنهار والدمع بلا توقف;خوف;2015-03-18
256;صوت القصف صار أغنية بلا لحن وأنا بلا نبض;خوف;2016-07-14
257;الناس عم تجروا وأنا واقف متل شجرة وسط العاصفة;خوف;2016-03-28
258;حلمت إني محاصر بين أربع جدران والهدير حواليني;خوف;2015-03-11
259;سلّموني على الخوف والدموع والسهر بلا نوم;خوف;2014-05-03
260;الدخان عم يملأ السما وأنا مش قادر أتنفس;خوف;2015-04-16
261;عم شوف ظلي بعتمة الحرب وما بلاقي نور;خوف;2016-10-29
262;الأهل صرنا نبحث عن صوتهم بلا جدوى;خوف;2015-03-04
263;بدي أهرب بس الطرق كلها مسكرة والرياح ماسكة فيي;خوف;2014-02-11
264;عم بشوف الضوء بعيد وأنا عم أسمع صوت القصف;خوف;2013-10-24
265;البيت بلا حيطان والدموع بلا حدود;خوف;2013-05-29
266;الأهل ضايعين وأنا بلا طريق;خوف;2012-01-18
267;عم اتلم بالظلام وما بقدر ألقا حد يساعدني;خوف;2011-04-25
268;السماء سوداء والقلوب شالها الخوف بلا أمل;خوف;2012-03-16
269;عم بلاقي وجهي بين الأطلال والقسوة;خوف;2013-04-17
270;الأمان صار سراب وأنا بلا مكان;خوف;2014-06-11
271;عم اسمع صرخات من بعيد وما بقدر أساعد;خوف;2012-02-22
272;الرجال اختفوا والنساء صرن مثل الأشباح خايفين;خوف;2012-09-19
273;البيت يلي كنا فيه صار أطلال وأنا مجروح بالقلب;خوف;2014-01-19
274;المستقبل مجهول والقلق صديق دائم;خوف;2015-10-26
275;البيت عم ينهار وأنا واقف بلا حركة بلا صوت;خوف;2016-03-10
276;صوت الرصاص صار أغنية حزينة بلا حياة;خوف;2014-09-11
277;الآخر المدينة عم تحترق وأنا قاعد متل حجر;خوف;2016-08-02
278;البيت صار أطلال والدموع ما بتنتهي;خوف;2014-05-30
279;عم أضيع كل يوم أكتر وقلبي بلا قرار;خوف;2014-09-13
280;الدموع عم تغرقني والقلق ما عم يتركني;خوف;2014-10-14
281;الأمان صار حلم بعيد وأنا بلا وصف;خوف;2015-05-18
282;السماء عم تمطر قذائف وفرقي عم يصرخوا وقلبي عم ينبض بسرعة;خوف;2012-01-09
283;عم شوف حالي محبوس بغرفة مظلمة ما بلاقي باب للخروج;خوف;2013-08-12
284;المستقبل ضبابي وأنا مش عارف وين روحي رايحة;خوف;2015-06-19
285;قلبي عم يتمزق كل ما سمعته صوت القصف;خوف;2016-10-29
286;عم بحاول أركض بس رجلي مش عم تسمعني;خوف;2011-11-26
287;عم بحاول أقنع حالي إني رح أكون بخير;خوف;2015-12-26
288;الخوف عم يلعب بقلبى وأنا بلا سلام;خوف;2014-12-29
289;السماء بلا نجمة وأنا بلا نور;خوف;2016-11-07
290;الليل ساكن وأنا عم بهرب من ظلي والذكرى;خوف;2015-05-19
291;السماء عم تتفتح وأنا بلا معطي أمل لنفسي;خوف;2014-04-17
292;الأمان صار ذكرى وأنا عم أتخبط بالغربة;خوف;2016-10-29
293;الأهل مفقودين وأنا بلا ذاكرتي;خوف;2013-04-03
294;المكان يلي كنا نلعب فيه صار ساحة للحزن والدموع;خوف;2016-07-21
295;عم بمسك إيدي والدتي ومظلومين بالدنيا بدون حماية;خوف;2011-11-17
296;عم بشوف عيوني عم تنهار والقلوب عم تتجمد;خوف;2013-04-08
297;عم شوف وجهي بالمرآة والدموع ما عم توقف;خوف;2013-04-12
298;السماء عم تهرب مني وأنا بلا أمان;خوف;2012-12-27
299;عم بشوف الدخان عم يبلش يغطيني وأنا بلا نفس;خوف;2014-05-03
300;عم حاول أفتش عن مطار آمن بس الضباب عّم يحجب الطريق;خوف;2011-12-19
301;عم بشوف ضلعي يتكسر والدنيا عم تروح مني;خوف;2013-09-22
302;عم شوف وجهي عاكس بالمرآة مكسور والدمعم ماوقف;خوف;2016-08-09
303;السماء عم تنهار والقلق عم يزيد;خوف;2011-02-03
304;الأولاد عم يصرخوا من بعيد وأنا ضايع ما بعرف وين روح;خوف;2012-07-31
305;الدنيا بلا أمان وأنا ضايع بلا مكان أسمّى بيتي;خوف;2015-06-13
306;قالولي بدي أهرب بس رجلي مش عم تسمعني;خوف;2011-10-11
307;الليل عم يحاصرني والقلق عم يدق على بابي;خوف;2014-02-10
